Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
55,4.42826489408845,1688.08001240297,4546.13944116169,"Oxalic acid, dicyclobutyl ester",76.9330672596241,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
84,4.4290805750756,1518.2388795166,2710.74951094293,3-Aminoisoxazole,68.7265923782712,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
55,4.42982003974358,3589.85187030472,9901.40397522586,Cyclopentanone,89.3733654425684,V9.3_ex.ft3_01182021_mature,V9.3_ex.ft3_01182021_mature.D
83.93,4.43071285747272,1041.28264002937,4773.27621554488,"2-Butenal, 2-methyl-",79.9733258743615,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
55,4.43099162165132,2428.58656825315,7230.10654069067,Cyclopentanone,92.7734450724263,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
55,4.43275603779094,1092.44198994672,22004.0763386712,Aminoacetonitrile,70.8333578697438,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
55,4.43592975392023,1015.83087664785,4272.10366076974,Cyclopentanone,89.1306831002318,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
54.97,4.44101628841825,476.276162314856,1590.75960293999,"Oxalic acid, cyclobutyl isohexyl ester",72.3336630822227,V12.1_ex.ta3_01262021_mature,V12.1_ex.ta3_01262021_mature.D
41,4.45137265016002,2058.55719978353,10602.057734771,"4-Pentenal, 2-methyl-",85.7111693292932,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
40.97,4.45200504110849,1439.20133041119,8048.04561777639,Isopropylcyclobutane,85.0426586562916,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
41,4.45348498605421,1044.80811718464,6854.49677787679,Methacryloyl chloride,71.3995157518277,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
40.97,4.4536305645035,1376.11480811739,5912.89111872836,"2,4-Dimethylsulfolane",82.2411876891176,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
40.96,4.46525680831266,1364.68078746924,1908.37915721474,"1-Propene, 3,3'-oxybis-",69.9161369562861,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
42.01,4.47628874872163,2273.86775133229,3423.24787366667,"2-Oxetanone, 4-methylene-",73.8148446360255,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
42.98,4.57218886623271,2049.91538687268,5293.63443301485,"Acetic acid, butyl ester",81.4599660637224,V6.3_dc.ac1_12312020_young,V6.3_dc.ac1_12312020_young.D
43,4.5729864296818,2327.16691567969,5066.38183421376,"Acetic acid, butyl ester",85.4985572127495,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
43,4.57333358227988,1748.39415256196,3460.04017996349,Isobutyl acetate,65.2351392070665,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
43.02,4.57351801231733,3312.54786295467,6283.46780308621,Isobutyl acetate,81.1436780474667,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
42.97,4.57374240716454,1748.39415256196,3885.55812131254,"Acetic acid, butyl ester",72.1784040683246,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
42.98,4.57380992145628,3118.29007431983,7207.51379107533,"Acetic acid, butyl ester",86.2077306042393,V8.1_bx.ts3_01052021_young,V8.1_bx.ts3_01052021_young.D
43,4.57440331443011,2499.41613900822,6552.80640704194,"Acetic acid, butyl ester",90.9687332335961,V12.1_ex.ta3_01262021_mature,V12.1_ex.ta3_01262021_mature.D
43,4.57455344308262,1997.68557925941,4219.69478333515,Isobutyl acetate,85.2491150970457,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
43,4.57478037749351,1977.6062364996,5239.16363171537,"Acetic acid, butyl ester",78.5500605908802,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
43,4.57489645059449,2263.1062897143,5139.51699009074,"Acetic acid, butyl ester",84.7958344447506,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
42.97,4.57493266826501,1997.68557925941,4917.36691390375,"Acetic acid, butyl ester",83.7406315583182,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
43,4.57501663180241,2175.41256836472,5833.26104055147,"Acetic acid, butyl ester",87.7823172135238,V7.2_bc.aa2_01042021_young,V7.2_bc.aa2_01042021_young.D
42.97,4.57526971186505,1691.3510955005,5390.41116732888,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",68.4759668222807,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
43,4.57530320972004,2420.65248692344,6147.1671581738,"Acetic acid, butyl ester",71.098383007917,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
42.98,4.5756029733159,2430.98920091437,4849.79801994192,"Acetic acid, butyl ester",89.8431122295162,V6.4_ac.ac1_12312020_young,V6.4_ac.ac1_12312020_young.D
43.01,4.57574833401258,1751.62275813539,2770.88224465104,"Acetic acid, butyl ester",63.7466617821427,V9.1_cx.ft3_01182021_mature,V9.1_cx.ft3_01182021_mature.D
43,4.57580836185995,1957.27443563545,5593.81455888706,"Acetic acid, butyl ester",59.9349440309632,V9.3_ex.ft3_01182021_mature,V9.3_ex.ft3_01182021_mature.D
43.02,4.57593249677418,1948.32529944053,4449.1022646125,Isobutyl acetate,54.3849215273557,V9.3_ex.ft3_01182021_mature,V9.3_ex.ft3_01182021_mature.D
43,4.57676264533826,2818.03581875159,6381.97150968894,Isobutyl acetate,86.3961332794206,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
42.98,4.57676278775135,2818.03581875159,6658.6333770884,"Acetic acid, butyl ester",91.038775948633,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
43,4.57696797736442,2423.17738464165,4429.59920249587,"Acetic acid, butyl ester",86.1175657254519,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
43,4.57709895113898,1750.41332270508,3746.90857115247,"Acetic acid, butyl ester",75.9831688558439,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
